STOP_FRISK_DATE,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_PREMISES_NAME,STOP_LOCATION_STREET_NAME,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG
1/1/2018,0:20:00,2018,January,Monday,Based on Self Initiated,APP,DTS,425,LT,425,Y,O,P,PSB,1,CPW,2,Y,,N,Y,CPW,N,,Y,,,,Y,N,1002310,173104,,PBBS,BROOKLYN,,,,,,,Y,,,,,,,,,,Y,,,,,,,,DE,CALM,22,MALE,BLACK,6.1,220,MED,BRO,BLK,,67,D,,4410 AVENUE D,,AVENUE D,Y,Y,,,Y
1/1/2018,1:35:00,2018,January,Monday,Based on Radio Run,APP,POM,68,SGT,68,Y,I,P,PSB,1,OTHER,10,Y,,Y,N,,N,,Y,,,,N,N,975341,165511,,PBBS,BROOKLYN,,,,,,,Y,,,,,,,,Y,,,,,,,,,,DE,CALM,53,MALE,WHITE,5.8,190,XXX,BLK,BLK,,68,G,,8924 3 AVENUE,,3 AVENUE,N,,,,N
1/1/2018,1:35:00,2018,January,Monday,Based on Radio Run,APP,POM,68,SGT,68,Y,I,P,PSB,1,OTHER,10,Y,,Y,N,,N,,Y,,,,N,N,975341,165511,,PBBS,BROOKLYN,,,,,,,Y,,,,,,,,Y,,,,,,,,,,DE,CALM,17,MALE,WHITE,5.8,150,XXX,BRO,BLK,,68,G,,8924 3 AVENUE,,3 AVENUE,N,,,,N
1/1/2018,9:25:00,2018,January,Monday,Based on C/W on Scene,APP,POM,71,LT,71,Y,,,,0,ASSAULT,5,Y,,N,N,,N,,Y,,,,Y,N,997566,181727,,PBBS,BROOKLYN,,,,,,,Y,,,,,,,,,,Y,,,,,,,,DE,UNDERSTANDING WHY SHE WAS STOPPED,57,FEMALE,BLACK,5.3,140,THN,BRO,BLK,,71,A,E14,377 MONTGOMERY STREET,,MONTGOMERY STREET,N,,,,N
1/1/2018,8:38:00,2018,January,Monday,Based on Radio Run,APP,POM,73,SGT,73,Y,,,,1,ASSAULT,1,Y,,N,N,,N,,Y,,,,N,N,1005571,181640,,PBBN,BROOKLYN,,,,,Y,,Y,,,,,,Y,,,,,,,,,,,,DE,NORMAL,,MALE,BLACK,5.9,190,MED,BRO,XXX,,73,B,,EAST 98 STREET && SUTTER AVENUE,,EAST 98 STREET,N,,,,N
1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,5,Y,,Y,N,,N,,Y,,,,Y,N,1010526,183094,,PBBN,BROOKLYN,,,,,,,Y,,Y,Y,Y,Y,,,,,Y,,,,,,,,,,18,MALE,BLACK,5.5,140,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,N,,,,N
1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,5,Y,,Y,N,,N,,Y,,,,Y,N,1010526,183094,,PBBN,BROOKLYN,,,,,,,Y,,Y,,,Y,,,,,Y,,,,,,,,,,,MALE,BLACK,5.1,120,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,N,,,,N
1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,5,Y,,Y,N,,N,,Y,,,,Y,N,1010526,183094,,PBBN,BROOKLYN,,,,,,,Y,,Y,,Y,Y,,,,,Y,,,,,,,,,,,MALE,BLACK,5.6,160,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,N,,,,N
1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,,H,Housing,1,CPW,4,Y,,Y,N,,N,,Y,,,,Y,N,1010526,183094,,PBBN,BROOKLYN,,,,,,,Y,,Y,,Y,Y,,,,,Y,,,,,,,,,,,MALE,BLACK,5.6,150,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,N,,,,N
1/1/2018,0:45:00,2018,January,Monday,Based on Self Initiated,APP,POF,802,SGT,802,Y,I,H,Housing,1,CPW,4,Y,,Y,N,,N,,Y,,,,Y,N,1010526,183094,,PBBN,BROOKLYN,,,,,,,Y,,Y,,Y,Y,,,,,Y,,,,,,,,,,,MALE,BLACK,5.4,160,THN,BRO,BLK,,73,C,,131 BELMONT AVENUE,,BELMONT AVENUE,N,,,,N
1/1/2018,21:25:00,2018,January,Monday,Based on Radio Run,APP,POM,78,SGT,78,Y,,P,PSB,1,BURGLARY,5,Y,,N,N,,N,,Y,,,,N,N,991685,186357,,PBBS,BROOKLYN,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,CALM,60,MALE,BLACK,6.1,160,THN,BRO,XXX,,78,C,,296 FLATBUSH AVENUE,,FLATBUSH AVENUE,N,,,,N
1/1/2018,2:55:00,2018,January,Monday,Based on Radio Run,APP,POM,94,LT,94,Y,I,P,PSB,1,PETIT LARCENY,15,Y,,Y,N,,N,,Y,,,,N,N,996327,201975,,PBBN,BROOKLYN,,,,,,,Y,,,,,,Y,,,,,Y,,,,,,,DE,NERVOUS,26,MALE,BLACK,6.7,160,THN,BRO,BLK,,94,A,LOBBY,44 BERRY STREET,,BERRY STREET,N,,,,N
1/1/2018,2:55:00,2018,January,Monday,Based on Radio Run,APP,POM,94,LT,94,Y,I,P,PSB,1,PETIT LARCENY,15,Y,,Y,N,,N,,Y,,,,N,N,996327,201975,,PBBN,BROOKLYN,,,,,,,Y,,,,,,,,,,,Y,,,,,,,DE,NERVOUS,25,MALE,WHITE,5.4,150,MED,GRY,BLN,,94,A,LOBBY,44 BERRY STREET,,BERRY STREET,N,,,,N
1/1/2018,19:35:00,2018,January,Monday,Based on Radio Run,APP,POM,103,SGT,103,Y,O,,,1,CRIMINAL POSSESSION OF MARIHUANA,5,Y,,Y,N,,N,,Y,,,,Y,N,1042197,197876,,PBQS,QUEENS,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,CALM,25,MALE,BLACK HISPANIC,5.5,260,HEA,BRO,BRO,,103,A,,170-06 89 AVENUE,,89 AVENUE,N,,,,N
